iter	Passed	Remaining
0	60	48346
1	61	24704
2	63	16816
3	64	12857
4	65	10489
5	66	8861
6	67	7702
7	68	6822
8	69	6150
9	70	5607
10	72	5185
11	73	4833
12	74	4537
13	76	4268
14	76	4027
15	78	3830
16	79	3675
17	80	3514
18	81	3362
19	82	3225
20	83	3104
21	84	2991
22	85	2890
23	86	2809
24	87	2719
25	88	2637
26	89	2562
27	90	2497
28	91	2433
29	92	2374
30	93	2316
31	94	2262
32	95	2212
33	96	2165
34	96	2118
35	97	2072
36	98	2037
37	99	2003
38	100	1968
39	101	1934
40	102	1900
41	103	1868
42	104	1838
43	105	1810
44	106	1784
45	107	1757
46	108	1731
47	108	1707
48	109	1683
49	110	1661
50	111	1640
51	112	1623
52	113	1606
53	114	1587
54	115	1569
55	116	1549
56	117	1533
57	118	1517
58	119	1502
59	120	1486
60	121	1472
61	122	1456
62	123	1441
63	124	1427
64	124	1413
65	125	1400
66	126	1387
67	127	1374
68	128	1364
69	130	1359
70	131	1348
71	132	1337
72	133	1327
73	134	1316
74	135	1306
75	135	1295
76	136	1284
77	137	1274
78	138	1264
79	139	1256
80	140	1248
81	141	1240
82	142	1232
83	143	1224
84	144	1216
85	145	1209
86	146	1202
87	147	1195
88	148	1187
89	149	1180
90	150	1172
91	152	1170
92	153	1164
93	154	1157
94	154	1149
95	155	1142
96	156	1135
97	157	1128
98	158	1120
99	159	1114
100	160	1108
101	161	1101
102	162	1096
103	162	1090
104	163	1083
105	164	1077
106	165	1071
107	166	1066
108	167	1060
109	168	1054
110	169	1050
111	170	1045
112	171	1040
113	172	1035
114	172	1030
115	173	1025
116	174	1021
117	175	1017
118	177	1013
119	177	1008
120	178	1003
121	180	1003
122	181	998
123	182	994
124	182	987
125	183	983
126	184	979
127	185	974
128	186	970
129	187	966
130	188	962
131	189	958
132	190	953
133	191	950
134	192	946
135	192	942
136	194	938
137	194	935
138	195	931
139	196	927
140	197	923
141	198	920
142	199	916
143	200	913
144	201	909
145	202	906
146	203	902
147	204	898
148	204	895
149	205	892
150	207	891
151	208	887
152	208	883
153	209	880
154	210	877
155	211	874
156	212	871
157	213	868
158	214	864
159	215	861
160	216	858
161	217	855
162	218	852
163	219	849
164	220	847
165	221	846
166	222	843
167	223	840
168	224	837
169	225	834
170	226	832
171	227	829
172	228	827
173	229	824
174	230	821
175	230	818
176	231	816
177	232	813
178	233	811
179	234	808
180	235	806
181	236	803
182	237	801
183	238	798
184	239	795
185	240	793
186	241	790
187	241	787
188	242	784
189	243	782
190	244	779
191	245	777
192	246	774
193	247	772
194	248	770
195	249	767
196	250	765
197	251	763
198	252	762
199	253	761
200	254	758
201	255	756
202	256	753
203	257	751
204	258	749
205	259	746
206	259	744
207	260	742
208	261	740
209	262	737
210	263	735
211	264	733
212	265	731
213	266	729
214	267	728
215	268	727
216	270	726
217	271	725
218	272	723
219	273	721
220	274	719
221	275	718
222	276	716
223	277	714
224	278	712
225	279	710
226	280	708
227	281	706
228	282	704
229	283	702
230	284	700
231	285	698
232	286	696
233	287	694
234	288	692
235	289	690
236	290	689
237	291	687
238	291	685
239	292	683
240	293	681
241	295	680
242	296	678
243	297	677
244	298	675
245	298	673
246	299	671
247	300	669
248	301	667
249	302	665
250	303	663
251	304	662
252	305	660
253	306	658
254	307	656
255	308	654
256	309	653
257	310	651
258	311	649
259	311	647
260	312	646
261	313	644
262	314	642
263	315	641
264	316	639
265	317	637
266	318	636
267	319	634
268	320	633
269	321	631
270	322	629
271	323	627
272	324	626
273	325	624
274	326	622
275	327	620
276	327	619
277	328	617
278	329	615
279	330	613
280	331	612
281	332	610
282	333	609
283	334	607
284	335	605
285	336	604
286	337	602
287	338	601
288	339	599
289	340	598
290	341	596
291	341	594
292	342	593
293	343	591
294	344	590
295	345	588
296	346	586
297	347	585
298	348	583
299	349	582
300	350	580
301	351	579
302	352	577
303	353	576
304	354	574
305	355	573
306	355	571
307	356	570
